Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Description,Location,District,City
A877409248,دور,6.0,5.0,214.0,730000.0,"دور للبيع في بدر, جنوب الرياض",بدر، جنوب الرياض، الرياض,حي بدر,الرياض
W448904463,فیلا,5.0,6.0,440.0,4800000.0,فيلا للبيع في الملك فهد، شمال الرياض,الملك فهد، شمال الرياض، الرياض,حي الملك فهد,الرياض
M187516680,فیلا,11.0,6.0,445.0,5000000.0,فيلا للبيع في الوادي، شمال الرياض,الوادي، شمال الرياض، الرياض,حي الوادي,الرياض
H808583263,دور,6.0,5.0,185.0,1200000.0,دور للبيع في  المونسية، شرق الرياض,المونسية، شرق الرياض، الرياض,حي المونسية,الرياض
T501925005,فیلا,6.0,6.0,300.0,980000.0,فيلا للبيع في  بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
G622333075,دور,6.0,5.0,500.0,1249000.0,"دور للبيع في الخليج, شرق الرياض",الخليج، شرق الرياض، الرياض,حي الخليج,الرياض
L472435811,دور,5.0,4.0,523.0,1650000.0,للبيع أدوار في الريان، شرق الرياض,الريان، شرق الرياض، الرياض,حي الريان,الرياض
G066192381,دور,4.0,3.0,3098.0,1350000.0,✴️دور علوي مودرن للبيع - مشروع ذا بارك✴️,الربوة، وسط الرياض، الرياض,حي الربوة,الرياض
B566435343,دور,3.0,3.0,500.0,800000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
S442527647,فیلا,5.0,5.0,500.0,3500000.0,فيلا للبيع في الملز، شرق الرياض,الملز، شرق الرياض، الرياض,حي الملز,الرياض
W111682250,ارض سكنية,0.0,0.0,390.0,9200000.0,"أرض للبيع في شارع حمزة بوقري, حي الخير, مدينة الرياض, منطقة الرياض",مخطط الخير، شمال الرياض، الرياض,حي مخطط الخير,الرياض
T586702253,عمارة سكنية,0.0,0.0,1200.0,5500000.0,"عمارة سكنية للبيع في حي الجرادية, غرب الرياض",الجرادية، غرب الرياض، الرياض,حي الجرادية,الرياض
T771872957,شقة,3.0,3.0,893.0,590000.0,شقة 3 غرف نوم للبيع في ظهرة لبن، الرياض,ظهرة لبن، غرب الرياض، الرياض,حي ظهرة لبن,الرياض
I151063802,دور,3.0,3.0,900.0,850000.0,دور للبيع في  العوالي، غرب الرياض,العوالي، غرب الرياض، الرياض,حي العوالي,الرياض
L680464272,دور,4.0,6.0,540.0,1450000.0,دور للبيع في المونسية، شرق الرياض,المونسية، شرق الرياض، الرياض,حي المونسية,الرياض
D254189383,دور,3.0,3.0,202.0,660000.0,دور للبيع في الطيبة، جنوب الرياض,طيبة، جنوب الرياض، الرياض,حي طيبة,الرياض
J275107714,فیلا,3.0,4.0,312.0,1000000.0,فيلا دورين مفصوله للبيع في العريجاء الرياض,العريجاء، غرب الرياض، الرياض,حي العريجاء,الرياض
N377810082,ارض سكنية,0.0,0.0,711.0,900.0,أرض سكنية للبيع في  الحائر، الرياض,الحائر، الرياض,حي الحائر,الرياض
C003958908,ارض سكنية,0.0,0.0,360.0,3000.0,أرض سكنية للبيع في  النسيم الغربي، شرق الرياض,النسيم الغربي، شرق الرياض، الرياض,حي النسيم الغربي,الرياض
X155815562,ارض سكنية,0.0,0.0,418.0,1800.0,ارض سكنية للبيع في  الجنادرية، شرق الرياض,الجنادرية، شرق الرياض، الرياض,حي الجنادرية,الرياض
N468384345,ارض سكنية,0.0,0.0,936.0,535.0,أرض سكنية للبيع في  العلا، الرياض,العلا، الرياض,حي العلا,الرياض
A311606968,ارض سكنية,0.0,0.0,900.0,1223.0,أرض سكنية للبيع في عريض الرياض,عريض، جنوب الرياض، الرياض,حي عريض,الرياض
F740062252,ارض سكنية,0.0,0.0,160.0,900.0,أرض سكنية للبيع في  الغنامية، جنوب الرياض,الغنامية، جنوب الرياض، الرياض,حي الغنامية,الرياض
W237753130,دور,8.0,2.0,103.0,280000.0,بيت شعبي مكون من  8 غرف نوم للبيع في المرقب، الرياض,المرقب، وسط الرياض، الرياض,حي المرقب,الرياض
H976566219,ارض سكنية,0.0,0.0,600.0,7200000.0,"أرض سكنية للبيع في القيروان, شمال الرياض",القيروان، شمال الرياض، الرياض,حي القيروان,الرياض
Z373191240,دور,3.0,3.0,500.0,800000.0,ادوار للبيع في  شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
O899275444,فیلا,5.0,9.0,450.0,3800000.0,فيلا زاوية درج داخلي وشقة للبيع في اليرموك، شرق الرياض,اليرموك، شرق الرياض، الرياض,حي اليرموك,الرياض
M430464573,شقة,4.0,4.0,118.0,630000.0,شقة للبيع في ظهرة لبن، غرب الرياض,ظهرة لبن، غرب الرياض، الرياض,حي ظهرة لبن,الرياض
W092745745,فیلا,8.0,7.0,580.0,6000000.0,للبيع فيلا مع شقة في الربيع، شمال الرياض,الربيع، شمال الرياض، الرياض,حي الربيع,الرياض
D089444658,دور,4.0,4.0,3098.0,1450000.0,"Ground floor for sale in Rabwah neighborhood, Riyadh",الربوة، وسط الرياض، الرياض,حي الربوة,الرياض
E273062078,شقة,4.0,3.0,3098.0,1100000.0,✴️شقة مودرن للبيع - مشروع ذا بارك✴️,الربوة، وسط الرياض، الرياض,حي الربوة,الرياض
A724019977,دور,4.0,4.0,214.0,760000.0,دور للبيع في  بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
A689471085,شقة,3.0,3.0,131.0,430000.0,شقة للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
L866650018,شقة,3.0,3.0,131.0,420000.0,شقة للبيع في  الدار البيضاء، جنوب الرياض,الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
